peak,lat,lon,quadrangle,range,status,routes,year,grade,grade_bucket,cost,note,draw_sort
"Pyramid (14,018 ft)",39.0715,-106.9501,Maroon Bells,Elk,Completed,"Approach, Northeast Ridge",2005-2006,A-,A,$,,3
"Capitol (14,130 ft)",39.1502,-107.083,Capitol Peak,Elk,Completed,Capitol Lake,2002,B,B,$,,4
"Challenger Point (14,081 ft)",37.98024,-105.60643,Crestone Peak,Sangre de Cristo,Completed, South Colony Lakes,2001-2005,B,B,$,,4
"Crestone (14,294 ft) & Needle (14,197 ft)",37.9667,-105.5853,Crestone Peak,Sangre de Cristo,Completed,South Colony Lakes,2001-2005,B,B,$,,4
"Evans (14,264 ft)",39.58821,-105.64359,Mount Evans,Front,Completed,Chicago Lakes & Summit Lake,2005-2006,B,B,$$,,4
"Tabeguache (14,155 ft)",38.62544,-106.25081,Saint Elmo,Sawatch,Completed,Jennings (Closed),2002,B,B,$,,4
Yale  (14196 ft),38.8442,-106.3137,Mount Yale,Sawatch,Completed,Denny Creek,2008-2011,B,B,$,,4
"Huron (14,003 ft)",38.9455,-106.438,Winfield,Sawatch,Completed,Clear Creek,1998-2002,B-,B,$$,,4
"Massive (14,421 ft)",39.1875,-106.4756,Mount Massive,Sawatch,Completed,East Slopes,2006-2009,B-,B,$$,,4
"Sunlight (14,059 ft) & Windom (14,082 ft)",37.6273,-107.59579,Storm King Peak,San Juan,Completed,Chicago Basin,2007-2010,B+,B,$,,4
"Democrat (14,148 ft)",39.33956,-106.13989,Climax,Mosquito,Completed,Kite Lake,2008,C,C,$$$,,5
"Holy Cross (14,005 ft)",39.4668,-106.4816,Mount of the Holy Cross,Sawatch,Completed,Halfmoon Pass,2011-2012,C,C,$$,,5
"La Plata (14,336 ft)",39.0294,-106.4729,Mount Elbert,Sawatch,Completed,Northwest Ridge,1995,C,C,$,,5
"Elbert (14,433 ft)",39.1177,-106.4453,Mount Elbert,Sawatch,Unplanned,Black Cloud,,C,C,$$$$,,5
"Quandary (14,265 ft)",39.3972,-106.1064,Breckenridge,Tenmile,Unplanned,Blue Lakes,,C,C,$$$$,,5
"Belford (14,197 ft) & Oxford  (14,153 ft)",38.9606,-106.3608,Mount Harvard,Sawatch,Completed,Missouri Gulch,1995-1996,C-,C,$$,,5
"Sneffels (14,150 ft)",38.0036,-107.7922,Mount Sneffels,San Juan,Completed,Yankee Boy Basin,2003-2004),C-,C,$,,5
"Uncompahgre (14,309 ft)",38.0716,-107.4621,Uncompahgre Peak,San Juan,Completed,Nellie Creek,2008,C-,C,$$$,,5
"Handies (14,048 ft)",37.9129,-107.5043,Handies Peak,San Juan,Unplanned,Grizzly Gulch,,C-,C,$$,,5
"Holy Cross (14,005 ft)",39.4668,-106.4816,Mount of the Holy Cross,Sawatch,Unplanned,Notch Mtn.,,C-,C,$,,5
"Princeton (14,197 ft)",38.7492,-106.2424,Mount Antero,Sawatch,Unplanned,Radio Towers,,C-,C,$$$$,,5
"Bross (14,172 ft)",39.33452,-106.1077,Alma,Mosquito,Completed,Bypass,2008,C+,C,$,Shavano traverse,5
"North Massive (14,340 ft)",39.19561,-106.48636,Mount Massive,Sawatch,Completed,North Halfmoon Creek,2003-2005,C+,C,$$,,5
"Quandary (14,265 ft)",39.3972,-106.1064,Breckenridge,Tenmile,Completed,East Slopes,2001-2002,C+,C,$$$$,,5
"Grays (14,270 ft) & Torreys (14,267 ft)",39.6337,-105.8175,Grays Peak,Front,Completed,Stevens Gulch,2000-2002,D,D,$$$$,,6
"Missouri (14,067 ft)",38.94755,-106.37836,Winfield,Sawatch,Completed,Missouri Gulch,2000-2001),D-,D,$$$,,6
"Handies (14,048 ft)",37.9129,-107.5043,Handies Peak,San Juan,Unplanned,American Basin,,D-,D,$$$,,6
"Lindsey (14,042 ft)",37.5838,-105.4448,Blanca Peak,Sangre de Cristo,Unplanned,Lily Lake,,D-,D,$$$$$,,6
"Wetterhornn(14,015 ft)",38.0606,-107.5108,Wetterhorn Peak,San Juan,Completed,Matterhorn Creek,2004-2005,D+,D,$$$,,6
"Antero (14,269 ft)",38.6741,-106.2462,Mount Antero,Sawatch,Unplanned,Baldwin Gulch,,D+,D,$,,6
"Bierstadt (14,060 ft)",39.58252,-105.66862,Mount Evans,Front,Planned,Guanella Pass,2014-2015,F,F,$$$$$$,,7
"Columbia (14,073 ft)",38.9034,-106.2974,Mount Harvard,Sawatch,Unplanned,North Hornfork Basin,,F,F,$$$$$,,7
"Elbert (14,433 ft)",39.1177,-106.4453,Mount Elbert,Sawatch,Unplanned,North,,F,F,$$$$$,,7
"Elbert (14,433 ft)",39.1177,-106.4453,Mount Elbert,Sawatch,Unplanned,East Slopes,,F,F,$$$$$,,7
"Evans (14,264 ft)",39.58821,-105.64359,Mount Evans,Front,Unplanned,Guanella Pass,,F,F,$$$$$,,7
"La Plata (14,336 ft)",39.0294,-106.4729,Mount Elbert,Sawatch,Unplanned,Winfield - SW Ridge,,F,F,$$$$$,,7
"Redcloud (14,034 ft)",37.9409,-107.4217,Redcloud Peak,San Juan,Unplanned,Silver Creek,,F,F,$$$$,,7
"Shavano (14,229 ft)",38.6193,-106.2393,Maysville,Sawatch,Unplanned,Blanks Gulch,,F,F,$$$$$$,,7
"Snowmass (14,092 ft)",39.1187,-107.0665,Snowmass Mountain,Elk,Unplanned,Snowmass Creek,,F,F,$$$$$,,7
